entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
526,2025-10-13,31.470000000000002,short,531,2025-10-18,31.820999999999998,-1.1153479504289658,-3.1153479504289656,0.8207917,0,2,
528,2025-10-15,31.821,short,533,2025-10-20,31.744,0.24197856761258835,-1.7580214323874117,0.81050605,0,2,
531,2025-10-18,31.811,short,536,2025-10-23,32.459,-2.0370312156172496,-4.037031215617249,0.80328023,0,2,
533,2025-10-20,31.734,short,538,2025-10-25,32.021,-0.9043927648578781,-2.904392764857878,0.8098717,0,2,
536,2025-10-23,32.449,short,541,2025-10-28,31.499,2.927671114672253,0.9276711146722532,0.7795995,0,2,
538,2025-10-25,32.010999999999996,short,543,2025-10-30,31.052999999999997,2.9927212520695963,0.9927212520695963,0.83172834,0,2,
541,2025-10-28,31.489,short,546,2025-11-02,31.127,1.1496077995490548,-0.8503922004509452,0.8197309,0,2,
543,2025-10-30,31.043,short,548,2025-11-04,32.556000000000004,-4.8738846116677035,-6.8738846116677035,0.819082,0,2,
546,2025-11-02,31.117,short,551,2025-11-07,31.206,-0.28601728958446715,-2.2860172895844673,0.8301037,0,2,
548,2025-11-04,32.546,short,553,2025-11-09,31.206,4.117249431573772,2.1172494315737724,0.8197309,0,2,
551,2025-11-07,31.196,short,556,2025-11-12,30.938,0.8270291062956875,-1.1729708937043126,0.819082,0,2,
553,2025-11-09,31.196,short,558,2025-11-14,31.255,-0.18912681112962398,-2.189126811129624,0.819082,0,2,
556,2025-11-12,30.928,short,561,2025-11-17,31.423,-1.6004914640455166,-3.6004914640455166,0.811521,0,2,
558,2025-11-14,31.245,short,563,2025-11-19,30.945,0.960153624579935,-1.039846375420065,0.7732373,0,2,
561,2025-11-17,31.413,short,566,2025-11-22,30.203,3.8519084455480237,1.8519084455480237,0.75285333,0,2,
563,2025-11-19,30.935000000000002,short,568,2025-11-24,29.752,3.8241474058509883,1.8241474058509883,0.635977,0,2,
